Id,Firstname,Lastname,Phone,Email,Branch,Salary
1,ALEX,MULLER,12347854,AHMET@GMAIL.COM,MATE,5000
2,Fatih,Ozkan,541233,fatih@gmail.de,Biologie,4960
3,Mehmet,Kara,45555,mehmet@gmail.com,Sport,5000
4,HIRA,INAN,85555,HIRA@GMAIL.COM,COMP,5500
5,Melissa,Stein,25411222,melissa@gmail.com,Chmeie,5000
6,Abbas,Mutlu,524112,abbas@gmail.com,Psiyk,5000
7,Lisa,Muller,54558,lisa@gmail.com,Sport,4000
8,Murat,Kara,54411,murat@gmail.de,Mathe,5000
9,Mercan,Tas,5442222,mercan@gmail.com,Deutsch,6000
10,Fatih,Ozkan,25555,fatih@gmail.com,Englisch,5600
11,MARIO,WOLF,54455,MARIO@GMAIL.COM,KUNST,3600
12,SABRINA,BAUER,15555,SABRINA@GMAIL.COM,MATHE,3600
13,Alex,Wolf,2541112,alex@gmail.com,Sport,5000
14,MURAT,ALICI,1235444,MURAT@GMAIL.COM,MATHE,6000
15,Isabella,Lehmann,587455,isabella@gmail.de,Mathe,4800
16,Nadia,Muller,2541222,nadia@gmail.de,Kunst,3600
